frame,effective_expert_kl_coef,expert_kl_loss,expert_action_mse,approx_kl,entropy,actor_grad_norm,effective_actor_lr,effective_critic_lr,TP_loss
65536,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,1.0622591616993304e-05,0.0005000000237487257,0.00013067637337371707
131072,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,1.1245184396102559e-05,0.0005000000237487257,0.0002306431415490806
196608,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,1.1867776265717112e-05,0.0005000000237487257,0.0001078943969332613
262144,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,1.2490368135331664e-05,0.0005000000237487257,0.00035283120814710855
327680,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,1.3112960004946217e-05,0.0005000000237487257,0.0017421793891116977
393216,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,1.373555187456077e-05,0.0005000000237487257,0.0032199365086853504
458752,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,1.4358143744175322e-05,0.0005000000237487257,0.003054500324651599
524288,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,1.4980735613789875e-05,0.0005000000237487257,0.009004333056509495
589824,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,1.5603327483404428e-05,0.0005000000237487257,0.00510558532550931
655360,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,1.6225920262513682e-05,0.0005000000237487257,0.0023154960945248604
720896,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,1.6848511222633533e-05,0.0005000000237487257,0.001100103254429996
786432,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,1.7471104001742788e-05,0.0005000000237487257,0.002353208139538765
851968,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,1.8093696780852042e-05,0.0005000000237487257,0.009757056832313538
917504,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,1.8716287740971893e-05,0.0005000000237487257,0.007140185683965683
983040,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,1.9338880520081148e-05,0.0005000000237487257,0.0037530481349676847
1048576,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,1.9961471480201e-05,0.0005000000237487257,0.0032322958577424288
1114112,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,2.0584064259310253e-05,0.0005000000237487257,0.0020142800640314817
1179648,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,2.1206655219430104e-05,0.0005000000237487257,0.0011620094301179051
1245184,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,2.182924799853936e-05,0.0005000000237487257,0.0022051921114325523
1310720,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,2.2451840777648613e-05,0.0005000000237487257,0.004483256489038467
1376256,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,2.3074431737768464e-05,0.0005000000237487257,0.001681079505942762
1441792,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,2.3697024516877718e-05,0.0005000000237487257,0.0013591338647529483
1507328,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,2.431961547699757e-05,0.0005000000237487257,0.0022090724669396877
1572864,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,2.4942208256106824e-05,0.0005000000237487257,0.0009762847912497818
1638400,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,2.5564799216226675e-05,0.0005000000237487257,0.001778692938387394
1703936,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,2.618739199533593e-05,0.0005000000237487257,0.00351866171695292
1769472,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,2.6809984774445184e-05,0.0005000000237487257,0.000543056579772383
1835008,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,2.7432575734565035e-05,0.0005000000237487257,0.0002604304172564298
1900544,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,2.805516851367429e-05,0.0005000000237487257,0.0002702828496694565
1966080,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,2.867775947379414e-05,0.0005000000237487257,0.000526858086232096
2031616,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,2.9300352252903394e-05,0.0005000000237487257,0.0014649913646280766
2097152,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,2.9922943213023245e-05,0.0005000000237487257,0.0020338569302111864
